word;transcription;translation;success_number;learning_date
initiate;ɪˈnɪʃieɪt;инициировать, возникать;0;
insight;ˈɪnsaɪt;понимание, проницательность, интуиция;-2;
instance;ˈɪnstəns;экземпляр, пример, инстанция, образец;1;
instant;ˈɪnstənt;момент, мгновение;3;
instantaneous temperature;ˌɪnstənˈteɪniəs ˈtemprətʃə(r);мгновенная температура;3;
insulate;ˈɪnsjʊleɪt;изолировать, обособлять, разобщать;5;2021-06-10
integration;ˌɪntɪˈɡreɪʃn;интеграция, интегрирование, объединение;3;
intend;ɪnˈtend;намереваться;2;
interconnect;ˌɪntəkəˈnekt;межкомпонентное соединение;-1;
interconversion;ɪnˈtɜːrkənˈvɜːʃən;взаимопревращение;2;
interconvert;ɪnˈtɜːrkənˈvɜːt;взаимопревращать;1;
interdisciplinary;ˌɪntəˈdɪsɪplɪnəri;междисциплинарный;5;2021-06-10
interface;ˈɪntəfeɪs;интерфейс, взаимодействие, поверхность раздела;3;
interference;ˌɪntəˈfɪərəns;помехи, вмешательство, интерференция;5;2021-06-10
interferometer;ɪntəfɪəˈrɔmɪtə;интерферометр;1;
interpenetrate;ɪntəˈpenɪtreɪt;взаимопроникать, глубоко проникать, наполнять собой;4;
interplay;ˈɪntəpleɪ;взаимодействие;3;
interpret;ɪnˈtɜːprɪt;интерпретировать, толковать, переводить;4;
interpretability;ɪnˈtɜːprətəˈbɪləti;интерпретируемость;1;
intersection;ˌɪntəˈsekʃən;пересечение, перекресток, точка пересечения;2;
intervene;ˌɪntəˈviːn;вмешиваться, помешать, вступаться;0;
intervention;ˌɪntəˈvenʃn;вмешательство, интервенция, посредничество;3;
intimate;ˈɪntɪmət;близкий, тесный;1;
intractable;ɪnˈtræktəbl̩;неуправляемый, неподатливый;1;
intramolecular;ˌɪntrəməˈlekjələr;внутримолекулярный;2;
intriguing;ɪnˈtriːɡɪŋ;интригующий, увлекательный, занимательный;0;
intrinsic nature;ɪnˈtrɪnzɪk ˈneɪtʃə(r);внутренняя природа;5;2021-06-10
invaluable;ɪnˈvæljʊbl̩;неоценимый, бесценный;0;
irrelevant;ɪˈrelɪvənt;неуместный, не относящийся к делу;5;2021-06-10
isobaric;ˈaɪsəbɑː(r)ɪk;изобарический;2;
isochore;aɪsəʊˈkɔː(r);изохора;2;
isoenthalpic;aɪsəenˈθælpɪk;изоэнтальпийный;1;
isokinetic;aɪsəʊkɪˈnetɪk;изокинетический;5;2021-06-10
isothermal;aɪsəʊˈθɜːməl;изотермический;2;
iteratively refine;ˈɪtərətɪvli rɪˈfaɪn;итеративно уточнять;2;
jet;dʒet;реактивный, струйный, коллимированная струя мезонов и барионов в коллайдере;5;2021-06-10
keen;kiːn;острый, проницательный, сильный;5;2021-06-10
kinetic;kɪˈnetɪk;кинетический;1;
labor-intensive;ˌleɪbərɪnˈtensɪv;трудоемкий;1;
landmark;ˈlændmɑːk;ориентир, веха, поворотный пункт;-5;
largely;ˈlɑːdʒli;в значительной степени, щедро, обильно;2;
layered;ˈleɪərd;слоистый;-1;
layerwise;ˈleɪə(r)waɪz;послойно;1;
lead (Pb);liːd;свинец;2;
leapfrog;ˈliːpfrɒɡ;чехарда;4;
lend;lend;предоставлять, давать, одалживать;-2;
lens;lenz;линза;3;
leverage;ˈliːvərɪdʒ;привлекать, использовать, задействовать;-1;
ligand;ˈlɪɡ(ə)nd;лиганд;2;
likelihood;ˈlaɪklihʊd;правдоподобие;4;
likely;ˈlaɪkli;вероятно;3;
likewise;ˈlaɪkwaɪz;также, подобно, более того;3;
line slope;laɪn sləʊp;наклон линии;4;
locomotion;ˌləʊkəˈməʊʃən;передвижение, путешествие;2;
logarithmic;ˌlɒɡəˈrɪðmɪk;логарифмический;4;
long short-term memory (LSTM);lɒŋ ˌʃɔːtˈtɜːm ˈmeməri;долгая краткосрочная память;0;
longitudinal;ˌlɒŋɡɪˈtjuːdənl;продольный;4;
loop;luːp;цикл;5;2021-06-10
loss function landscape;lɒs ˈfʌŋkʃn ˈlændskeɪp;ландшафт функции потерь;2;
luminous;ˈluːmɪnəs;светящийся, светлый, блестящий;0;
lure;lʊə(r);соблазнить;0;
machine learning (ML);məˈʃiːn ˈlɜːnɪŋ;машинное обучение;2;
manifold;ˈmænɪfəʊld;многообразие;1;
manufacturing;ˌmænjuˈfæktʃərɪŋ;производство, обрабатывающая промышленность, обработка;2;
mapping;ˈmæpɪŋ;отображение, преобразование;4;
mathematical rigor;ˌmæθəˈmætɪkl ˈrɪɡə(r);математическая строгость;5;2021-06-10
matrix;ˈmeɪtrɪks;матрица;2;
matrix completion;ˈmeɪtrɪks kəmˈpliːʃən;завершение матрицы;1;
matrix rank;ˈmeɪtrɪks ræŋk;ранг матрицы;1;
mature;məˈtjʊər;созреть, взрослеть;2;
maximize a reward;ˈmæksɪmaɪz ə rɪˈwɔːd;награда, вознаграждение, воздаяние;2;
mean square displacement;miːn skweə(r) dɪˈspleɪsmənt;среднеквадратичное смещение;3;
measurement;ˈmeʒəmənt;измерение;1;
mediate;ˈmiːdieɪt;посредничать, служить связующим звеном;3;
memory dump;ˈmeməri dʌmp;дамп (свалка) памяти (содержимое рабочей памяти процесса);3;
mere;mɪə(r);простой, сущий, не более чем;3;
mesh;meʃ;зацепление, сети, петля, ячейка;-6;
metastability;ˈmetəstəˈbɪləti;метастабильность;3;
metastable;metəˈsteɪbl;метастабильный;4;
microcanonical;ˈmaɪkrəʊkəˈnɔnɪkəl;микроканонический;5;2021-06-10
microscopy;maɪˈkrɒskəpi;микроскопия;3;
mimic the features;ˈmɪmɪk ðə ˈfiːtʃərs;имитировать черты;3;
minimization;mɪnɪmaɪˈzeɪʃn;минимизация;1;
mitigate noise;ˈmɪtɪɡeɪt nɔɪz;уменьшить шум;5;2021-06-10
mock;mɒk;высмеивать, издеваться, насмехаться;0;
modest;ˈmɒdɪst;скромный, умеренный, сдержанный;-3;
molecular;məˈlekjələ(r);молекулярный;3;
molecular dynamics simulations;məˈlekjələ(r) daɪˈnæmɪk ˌsɪmjuˈleɪʃns;моделирование молекулярной динамики;5;2021-06-10
molecule;ˈmɒlɪkjuːl;молекула;5;2021-06-10
monotonic;ˈmɒnətəʊnɪk;монотонный;5;2021-06-10
motifs;məʊˈtiːf;лейтмотив, основная тема, кружевное украшение;4;
multicomponent;mʌltikəmˈpəʊnənt;мультикомпонентный;2;
mutual;ˈmjuːtʃuəl;взаимный, общий, обоюдный;2;
mutual polarization;ˈmjuːtʃuəl pəʊləraɪˈzeɪʃn;взаимная поляризация;4;
narrow;ˈnærəʊ;узкий, ограниченный, небольшой;2;
near-term;nɪə(r) tɜːm;в ближайшей перспективе;-1;
neural network;ˈnjʊərəl ˈnetwɜːk;нейронная сеть;3;
neural-network quantum state (NQS);ˈnjʊərəl ˈnetwɜːk ˈkwɒntəm steɪt;квантовое состояние нейронной сети;1;
newcomer;ˈnjuːkʌmə(r);новичок;2;
no man’s;nəʊ mæns;ничейный;3;
notably;ˈnəʊtəbli;особенно, заметно, в особенности;5;2021-06-10
notion;ˈnəʊʃən;понятие, представление, идея;-1;
notorious;nəʊˈtɔːriəs;пресловутый, известный, печально известный;1;
notwithstanding;ˌnɒtwɪðˈstændɪŋ;несмотря на, вопреки;3;
nuclei;ˈnjuːkliaɪ;зародыши;5;2021-06-10
nucleus;ˈnjuːkliəs;зародыш;1;
nuisance;ˈnjuːsəns;неприятность, неудобство, досада;-1;
number crunching;ˈnʌmbə(r) krʌntʃɪŋ;сложные расчёты (перемалывание чисел);2;
numerical;njuːˈmerɪkl̩;числовой, численный, цифровой;2;
oblate;ˈɒbleit;сплюснутый;1;
occasionally;əˈkeɪʒnəli;иногда, изредка, время от времени;0;
occur;əˈkɜːr;происходить;-2;
ongoing;ˈɒŋˌɡəʊɪŋ;постоянный, непрерывный;-2;
onset of phase;ˈɒnset əv feɪz;начало фазы;3;
opaque;əʊˈpeɪk;непрозрачный, матовый, светонепроницаемый;1;
operational;ˌɒpərˈeɪʃənəl;оперативный, операционный;3;
orbiting;ˈɔːbɪtɪŋ;вращение по орбите;3;
orthorhombic;ˌɔːθəˈrɒmbɪk;орторомбический;4;
outline;ˈaʊtlaɪn;обрисовать, контур;-2;
outlook;ˈaʊtlʊk;перспектива, кругозор, вид;-2;
outperform;ˌaʊtpəˈfɔːm;превосходить;4;
over time;ˈəʊvə(r) taɪm;через некоторое время;-2;
overall;ˌəʊvərˈɔːl;общий, полный, всеобщий;2;
overarching;ˌəʊvəˈrɑːtʃɪŋ;всеобъемлющий;-4;
overcome barrier;ˌəʊvəˈkʌm ˈbæriə(r);преодолеть барьер;2;
overlap;ˌəʊvəˈlæp;перекрытие, совпадение, нахлестка;5;2021-06-10
overshoot;ˌəʊvəˈʃuːt;промахиваться, стрелять лучше, превышать;-1;
oxide (_O, _O2, etc.);ˈɒksaɪd;окись, оксид, окисел;5;2021-06-10
oxygen;ˈɒksɪdʒən;кислород;4;
pace;peɪs;темп, скорость, шаг;5;2021-06-10
paramount;ˈpærəmaʊnt;первостепенный, верховный, важнейший;3;
partial;ˈpɑːʃəl;парциальный, частичный;2;
partial charge;ˈpɑːʃəl tʃɑːdʒ;частичный заряд;1;
partial differential equation (PDE);ˈpɑːʃəl ˌdɪfəˈrenʃəl ɪˈkweɪʒən;уравнение в частных производных;3;
particle identification;ˈpɑːtɪkl̩ aɪˌdentɪfɪˈkeɪʃn;идентификация частиц;4;
particular;pəˈtɪkjələ(r);особый, частный, специфический;1;
patchy;ˈpætʃi;пятнистый, неоднородный, разношерстный;0;
pattern;ˈpætn;узор, шаблон, образец;2;
peculiar;pɪˈkjuːliər;своеобразный, специфический, особенный;-2;
peptide;ˈpeptaɪd;пептид;4;
perceive;pəˈsiːv;воспринимать, чувствовать, ощущать;2;
perception;pəˈsepʃən;восприятие, ощущение, понимание;5;2021-06-10
perceptual;pəˈseptjuəl;перцепционный, относящийся к восприятию;2;
percolate;ˈpɜːkəleɪt;просачиваться, процедить, процеживать;-4;
periodic;ˌpɪəriˈɒdɪk;периодический, циклический, риторический;1;
periodic arrangement;ˌpɪəriˈɒdɪk əˈreɪndʒmənt;периодическое расположение;3;
perk;pɜːk;преимущество, воспрянуть духом;-2;
permutation;ˌpɜːmjʊˈteɪʃən;перестановка, изменение, перемещение;5;2021-06-10
persistent;pəˈsɪstən;постоянный, стойкий;0;
pertain;pɜːˈteɪn;относиться, принадлежать, иметь отношение;-4;
pertinent;ˈpɜːtɪnənt;уместный, подходящий, имеющий отношение;-2;
perturbation;ˌpɜːtəˈbeɪʃən;возмущение, пертурбация, волнение;2;
pharmaceutical;ˌfɑːməˈsuːtɪkəl;фармацевтический, аптекарский;2;
phosphide (_P);ˈfɔsfaɪd;фосфид;0;
physical imperfections;ˈfɪzɪkl ˌɪmpəˈfekʃəns;физические недостатки;4;
pinpoint;ˈpɪnpɔɪnt;точный, прицельный;-3;
pipeline;ˈpaɪplaɪn;конвейер;2;
piston;ˈpɪstən;поршень;1;
pivotal;ˈpɪvətəl;основной, центральный, осевой;-2;
planarity;ˈpleɪnərəti;плоскостность;5;2021-06-10
plaquette;pləˈket;плакетка;5;2021-06-10
plateau;ˈplætəʊ;плато, плоская возвышенность;2;
plausible;ˈplɔːzəbl̩;правдоподобный, вероятный, благовидный;0;
pointed;ˈpɔɪntɪd;острый, заостренный, остроконечный;-1;
poise;pɔɪz;равновесие, уравновешенность;4;
polarizable;ˈpəʊləraɪzəbl;поляризуемый;5;2021-06-10
polyamorphism;ˈpɒliəˈmɔːfˈɪzm;полиаморфизм;4;
possess;pəˈzes;обладать, владеть, овладевать;0;
power consumption;ˈpaʊə(r) kənˈsʌmpʃən;потребляемая мощность;2;
precaution;prɪˈkɔːʃn;мера предосторожности;4;
preclude;prɪˈkluːd;предотвращать, мешать, устранять;-4;
predicate;ˈpredɪkət;предикат, сказуемое, утверждение;5;2021-06-10
prerequisite;ˌpriːˈrekwɪzɪt;предпосылка;2;
prescribe;prɪˈskraɪb;предписывать;5;2021-06-10
presence;ˈprezns;присутствие, наличие, явка;-1;
prevailing view;prɪˈveɪlɪŋ vjuː;преобладающее мнение;4;
prevalent;ˈprevələnt;распространенный, преобладающий, превалирующий;1;
prevent overfitting;prɪˈvent ˈəʊvə(r)fɪtɪŋ;предотвратить переобучение;4;
primary;ˈpraɪməri;первичный, основной, главный;3;
principal component analysis (PCA);ˈprɪnsɪpəl kəmˈpəʊnənt əˈnæləsɪs;метод главных компонент;0;
prior;ˈpraɪə(r);предшествующий, предшествовавший, прежний;-2;
probability;ˌprɒbəˈbɪlɪti;вероятность;2;
probe;prəʊb;зонд, щуп, расследование;2;
proceed;prəˈsiːd;продолжать, действовать, исходить;-5;
process;ˈprəʊses;обрабатывать;2;
prodigious;prəˈdɪdʒəs;удивительный, огромный, чудовищный;-1;
profound;prəˈfaʊnd;глубокий, основательный, проникновенный;-4;
progenitor;prəʊˈdʒenɪtər;прародитель, предшественник, предок;-1;
prohibitive;prəˈhɪbɪtɪv;запретительный, препятствующий, запрещающий;-1;
proliferate;prəˈlɪfəreɪt;пролиферировать, распространяться, быстро увеличиваться;-4;
prominent;ˈprɒmɪnənt;известный, видный, выдающийся;-2;
promising;ˈprɒmɪsɪŋ;многообещающий, подающий надежды;1;
pronounced;prəˈnaʊnst;выраженный;5;2021-06-10
propagate;ˈprɒpəɡeɪt;распространять, размножаться;4;
proposal;prəˈpəʊzl;предложение, заявка, план;-1;
prospect;ˈprɒspekt;перспектива, разведка, панорама;2;
protein;ˈprəʊtiːn;белок, протеин;5;2021-06-10
protonation;ˌprəʊtɒˈneɪʃn;протонирование;3;
prototypical;ˌprəʊtəˈtɪpɪkl;прототипичный;1;
provable;ˈpruːvəbl;доказуемо;3;
put forward;pʊt ˈfɔːwəd;выдвигать;-5;
pyramidal;pɪˈræmɪdəl;пирамидальный;1;
quantitative;ˈkwɒntɪtətɪv;количественный;3;
quantum chromodynamics (QCD);ˈkwɒntəm krəʊmədaɪˈnæmɪks;квантовая хромодинамика;1;
quasistatic;kweɪzaɪˈstætɪk;квазистатический;2;
quenching;kwentʃiŋ;тушение, гашение, закалка;2;
quiescent;kwiˈesənt;неподвижный, пассивный;-4;
radial distribution function;ˈreɪdiəl ˌdɪstrɪˈbjuːʃn ˈfʌŋkʃn;функция радиального распределения;1;
radii;ˈreɪdiaɪ;радиусы;3;
rapid;ˈræpɪd;быстрый, скоростной;-1;
rather remarkably;ˈrɑːðə(r) rɪˈmɑːkəbli;довольно замечательно;1;
ratio;ˈreɪʃiəʊ;соотношение, отношение, коэффициент;3;
reactant;riˈæktənt;реагент;2;
readily accessible;ˈredɪli əkˈsesəbl̩;легко доступный;-1;
realm;relm;область знаний, сфера;2;
reciprocal space;rɪˈsɪprəkəl speɪs;обратное пространство;2;
recognize patterns;ˈrekəɡnaɪz ˈpætns;распознавать шаблоны;-1;
recurrent;rɪˈkʌrənt;рекуррентный, возвратный, повторяющийся;3;
recurrent neural network (RNN);rɪˈkʌrənt ˈnjʊərəl ˈnetwɜːk;рекуррентная нейронная сеть;1;
reduce;rɪˈdjuːs;уменьшить, снижать, уменьшать;3;
reference model;ˈrefrəns ˈmɒdl;эталонная модель;5;2021-06-10
reference system;ˈrefrəns ˈsɪstəm;справочная система;0;
reflectance;rɪˈflektəns;отражательная способность;5;2021-06-10
regard;rɪˈɡɑːd;внимание, отношение, уважение;-3;
regime;reɪˈʒiːm;режим, строй;5;2021-06-10
reinforcement;ˌriːɪnˈfɔːsmənt;подкрепление, укрепление, усиление;1;
rejuvenation;rɪˌdʒuːvəˈneɪʃn;омоложение, восстановление сил;0;
relatively;ˈrelətɪvli;относительно, сравнительно, соответственно;3;
relevance;ˈreləvəns;актуальность, релевантность, уместность;5;2021-06-10
relevant;ˈreləvənt;релевантный, уместный;1;
reliable;rɪˈlaɪəbl̩;надежный, достоверный;1;
rely;rɪˈlaɪ;полагаться, надеяться, зависеть;-1;
remarkable;rɪˈmɑːkəbl;замечательный, удивительный, выдающийся;0;
repartition;riːpɑːˈtɪʃn;перераспределение;0;
repeatedly;rɪˈpiːtɪdli;многократно;0;
repel;rɪˈpel;отталкивать, отражать;1;
reproducible results;riːprəˈdjuːsəbl rɪˈzʌlts;воспроизводимые результаты;3;
repulsive force;rɪˈpʌlsɪv fɔːs;сила отталкивания;1;
repurpose;ˌriːˈpɜːpəs;переориентировать, перепрофилировать;1;
resemblance;rɪˈzembləns;сходство;3;
residue;ˈrezɪdjuː;остаток, осадок;1;
restore;rɪˈstɔː(r);восстанавливать, реставрировать, возобновить;-4;
restrict;rɪˈstrɪkt;ограничивать, ставить предел;5;2021-06-10
restricted Boltzmann machine (RBM);rɪˈstrɪktɪd ˈbɔltsman məˈʃiːn;ограниченная машина Больцмана;3;
resurrect;ˌrezəˈrekt;воскресить;2;
retain;rɪˈteɪn;удерживать, сохранять, хранить;-4;
retain data;rɪˈteɪn ˈdeɪtə;сохранять данные;-2;
retrieve the phase;rɪˈtriːv ði feɪz;получить фазу;4;
reveal;rɪˈviːl;раскрывать, открывать, показывать;1;
reversal;rɪˈvɜːsəl;изменение, реверсирование, аннулирование;-3;
reversibility;rɪˌvɜːsəˈbɪləti;обратимость;3;
rhombic;rɒmbɪk;ромбический;3;
ridge;rɪdʒ;хребет, гребень, конек;4;
rigid;ˈrɪdʒɪd;жесткий, твердый, неподвижный;-1;
rigid body;ˈrɪdʒɪd ˈbɒdi;твёрдое тело;4;
rigorous;ˈrɪɡərəs;строгий, тщательный, точный;1;
robust;rəʊˈbʌst;крепкий, здравый, сильный;3;
robustness;rəʊˈbʌstnəs;прочность;5;2021-06-10
rotameric;;ротамерный;2;
rotational motion;rəʊˈteɪʃənl ˈməʊʃn;вращательное движение;1;
roughly stated;ˈrʌfli steɪted;грубо говоря;0;
round-off;raʊnd ɒf;округление;1;
rule of thumb;ruːl əv θʌm;практическое (эмипирическое) правило;4;
sabbatical;səˈbætɪkəl;творческий отпуск;2;
salient;ˈseɪliənt;выступ, клин;-2;
sample;ˈsɑːmpl;образец;2;
sanity;ˈsænɪti;здравомыслие, здравый ум, нормальная психика;0;
schedule;ˈʃedjuːl;план;-3;
scheme;skiːm;схема, система, план;1;
scintillate;ˈsɪntɪleɪt;сверкать, излучать;1;
scope;skəʊp;рамки, сфера, возможности;-1;
scrutinize;ˈskruːtɪnaɪz;тщательно исследовать, изучать, рассматривать;1;
selenide (_Se);ˈselınaıd;селенид;1;
self-diffusion coefficient;self dɪˈfjuːʒn ˌkəʊɪˈfɪʃənt;коэффициент самодиффузии;4;
seminal;ˈsemɪnəl;семенной, плодотворный, зародышевый;0;
sense;sens;смысл, чувство, ощущение;5;2021-06-10
sensing;sensɪŋ;зондирование;3;
separable;ˈsepərəbl;отделимый;2;
separate;ˈseprət;отдельный, самостоятельный, особый;-1;
setting;ˈsetɪŋ;установка, постановка, окружение;5;2021-06-10
several;ˈsevrəl;несколько;4;
severe;sɪˈvɪə(r);серьезный, тяжелый, сильный;-1;
shallow;ˈʃæləʊ;мелкий, мелководный, поверхностный;3;
sharply;ˈʃɑːpli;точно;-1;
shear;ʃɪər;срез, сдвиг;0;
shear stress;ʃɪər stres;напряжение сдвига;1;
shed;ʃed;пролить;-1;
shell;ʃel;оболочка;4;
shortage;ˈʃɔːtɪdʒ;нехватка, дефицит, недостаток;-2;
shortcoming;ˈʃɔːtˌkʌmɪŋ;недостаток, дефект, несовершенство;2;
shortcut;ˈʃɔːtkʌt;кратчайший путь;0;
shrink;ʃrɪŋk;сокращаться, сжиматься, сокращать;-3;
silicate (_SiO4, _Si2O5, etc.);ˈsɪlɪkeɪt;силикат;4;
silicon;ˈsɪlɪkən;кремний;3;
simulation fidelity;ˌsɪmjʊˈleɪʃən fɪˈdeləti;точность моделирования;0;
smear;smɪər;мазок, пятно, клевета;-1;
so as to be;səʊ əz tə bi;чтобы быть;2;
so far;səʊ fɑː;до сих пор;4;
soar;sɔːr;парить, витать, подниматься;-2;
solution;səˈluːʃn;раствор;4;
solvent;ˈsɒlvənt;растворитель, растворяющее вещество;1;
somewhat;ˈsʌmwɒt;отчасти, до некоторой степени;-1;
sound ground;saʊnd ɡraʊnd;прочная основа;0;
spacious;ˈspeɪʃəs;просторный, вместительный, обширный;-1;
span;spæn;охватывать, перекрывать, простираться;-3;
spark;spɑːk;искра, вспышка;4;
sparse matrix;spɑːs ˈmeɪtrɪks;разреженная матрица;2;
spate;speɪt;поток, наплыв, излияние;-5;
spatial;ˈspeɪʃəl;пространственный;3;
spatially resolved;ˈspeɪʃəl rɪˈzɒlvd;пространственно разрешенный;0;
spatiotemporal;ˈspeɪʃəˈtempərəl;пространственно-временной;3;
special-purpose;ˈspeʃəl-ˈpɜːpəs;спецназначение;1;
specifically;spəˈsɪfɪkli;в частности;0;
specified;ˈspesɪfaɪ;задан;3;
speculate;ˈspekjʊleɪt;размышлять, делать предположения;-1;
spin-off;spɪn ɒf;дополнительная выгода;0;
spinodal;spaɪˈnəʊdl;спинодаль (линия на фазовой диаграмме между метастабильной и неустойчивой фазой);1;
spray;spreɪ;спрей, брызги, распылитель;2;
spring;sprɪŋ;пружина;4;
squeeze;skwiːz;выжимать, сжимать, давить;4;
squiggly;ˈskwɪɡli;волнистый;3;
stacking;stækɪŋ;укладка;2;
stark;stɑːk;резкий, суровый;0;
state-of-the-art;ˌsteɪt əv ði ˈɑːt;современный;0;
statement;ˈsteɪtmənt;заявление, утверждение, оператор;4;
static structure factor;ˈstætɪk ˈstrʌktʃə(r) ˈfæktə(r);статический структурный фактор;4;
steady;ˈstedi;устойчивый, постоянный, неуклонный;4;
steep;stiːp;крутой, резкий;2;
stem;stem;стебель, стержень, ствол;3;
steric repulsion;;стерическое отталкивание;4;
stochastic;stəˈkæstɪk;стохастический;3;
stochastic gradient descent (SGD);stəˈkæstɪk ˈɡreɪdiənt dɪˈsent;стохастический градиентный спуск;3;
straightforward;ˌstreɪtˈfɔːwəd;простой;4;
strain;streɪn;штамм, напряжение, деформация;0;
stressed;strest;подчеркнутый;0;
stretching parameter;stretʃɪŋ pəˈræmɪtər;параметр растяжения;4;
striking;ˈstraɪkɪŋ;поразительный;-2;
structural;ˈstrʌktʃərəl;структурный;3;
submit;səbˈmɪt;подавать, утверждать;0;
subsequent;ˈsʌbsɪkwənt;последующий;-2;
substantial;səbˈstænʃl;существенный, значительный, важный;0;
substrate;ˈsʌbstreɪt;подложка;0;
subtle effects;ˈsʌtəl ɪˈfekts;тонкие эффекты;0;
subtlety;ˈsʌtl̩ti;тонкость, утонченность, хитрость;3;
succeed;səkˈsiːd;преуспевать, иметь успех, следовать за;-2;
successive;səkˈsesɪv;последовательный, последующий;1;
succinct representation;səkˈsɪŋkt ˌreprɪzenˈteɪʃn;сжатое представление;4;
suggest;səˈdʒest;предлагать;2;
suitable;ˈsuːtəbl;подходящий, соответствующий, годный;5;2021-06-10
suite;swiːt;набор, сюита, апартаменты;-1;
sulfide (_S);ˈsʌlfaɪd;сульфид;1;
sulfur;ˈsʌlfər;сера, бабочка из семейства белянок, зеленовато-желтый цвет;5;2021-06-10
summand;ˈsʌmand;слагаемое;4;
supercooled;ˌsuːpəˈkuːld;переохлажденный;4;
supplement;ˈsʌplɪmənt;дополнение, приложение, добавление;3;
support vector machine (SVM) method;səˈpɔːt ˈvektər məˈʃiːn ˈmeθəd;метод опорных векторов;1;
surface;ˈsɜːfɪs;площадь, всплыть, появляться, показаться;4;
surge;sɜːdʒ;волна, повышение, быстрый рост;-2;
survey;ˈsɜːveɪ;обзор, обследование, исследование;1;
suspicion;səˈspɪʃn;подозрение, подозрительность;2;
syndrome;ˈsɪndrəʊm;синдром;0;
tackle;ˈtækl;принадлежности, устранение, преодоление, справиться;0;
tagging;ˈtæɡɪŋ;маркировка;1;
take by surprise;teɪk baɪ səˈpraɪz;застать врасплох;3;
tangent;ˈtændʒənt;тангенс, касательная;3;
telluride (_Te);teˈljʊraɪd;теллурид;2;
temperature bath;ˈtemprətʃə(r) bɑːθ;термостат, температурная баня;0;
temporal sequence;ˈtempərəl ˈsiːkwəns;временная последовательность;4;
tempt;tempt;искушать, соблазнять, испытывать;0;
tentatively;ˈtentətɪv;пробный, экспериментальный, неуверенный;0;
test bench;test bentʃ;испытательный стенд;1;
tetrahedral;ˌtetrəˈhiːdrəl;тетраэдральный;5;2021-06-10
the net force;ðə net fɔːs;равнодействующая сила;2;
the well;ðə wel;колодец, скважина, лунка;2;
thereby;ˌðeəˈbaɪ;таким образом, в связи с этим;-2;
thermal noise;ˈθɜːməl nɔɪz;тепловой шум;3;
thermodynamics;ˌθɜːməʊdaɪˈnæmɪks;термодинамика;2;
thorough;ˈθʌrə;тщательный;-6;
threshold;ˈθreʃhəʊld;порог, предел;2;
throughput;ˈθruːpʊt;пропускная способность, производительность;-3;
tile;taɪl;плитка, черепица, кафель;5;2021-06-10
time span;taɪm spæn;промежуток времени;3;
tiresome computations;ˈtaɪəsəm ˌkɒmpjuˈteɪʃns;утомительные вычисления;3;
titanate (_TiO3);ˈtaɪtəneɪt;титанат;1;
to a large extent;tə ə lɑːdʒ ɪkˈstent;в значительной степени;1;
to keep pace;tə kiːp peɪs;идти в ногу;2;
toolkit;ˈtuːlˌkɪt;инструментарий;3;
torsion;ˈtɔːʃən;кручение, скручивание, торсион;1;
torsional angle;ˈtɔːʃnl ˈæŋɡl;двугранный угол;3;
towards;təˈwɔːdz;к, в направлении, по отношению к;3;
tracer;ˈtreɪsər;трассирующий снаряд, меченый атом, исследователь;3;
tractable;ˈtræktəbl̩;послушный, управляемый, поддающийся обработке;2;
trade-off;ˈtreɪdɒf;компромисс, взаимные уступки;1;
trait;treɪt;особенность, штрих, характерная черта;-4;
trajectory;trəˈdʒektəri;траектория;2;
transferability;ˌtrænsˌfɜːrəˈbɪləti;возможность передачи, перемещаемость;1;
transferable;trænsˈfɜːrəbl;допускающий замену, допускающий перемещение;0;
transient;ˈtrænziənt;временный, преходящий, скоротечный;1;
translational motion;ˌtrænzˈleɪʃnəl ˈməʊʃn;поступательное движение;0;
transmissivity;trænzˈmɪsɪvəti;пропускающая способность;-1;
transverse;trænzˈvɜːs;поперечный;0;
treat;triːt;относиться к, рассматривать, лечить, угостить;-1;
treatable;ˈtriːtəbl;излечимый;-2;
treatment;ˈtriːtmənt;обработка, обращение, лечение;0;
truncate;trʌŋˈkeɪt;усекать, сокращать;2;
trustworthy;ˈtrʌstˌwɜːði;надежный, заслуживающий доверия;-2;
unambiguous;ˌʌnæmˈbɪɡjuəs;недвусмысленный;2;
unchallengeable;ʌnˈtʃælɪndʒəbl;неоспоримый;2;
underlying;ˌʌndəˈlaɪɪŋ;основной, лежащий в основе;1;
unfeasible;ʌnˈfiːzɪbl̩;невыполнимый;-2;
unfolding;ʌnˈfəʊld;раскрываться, развертываться;2;
unfounded;ʌnˈfaʊndɪd;необоснованный, неосновательный, бездоказательный;1;
unify;ˈjuːnɪfaɪ;унифицировать, объединять;2;
unimaginable;ˌʌnɪˈmædʒɪnəbl̩;невообразимый;-1;
unveil;ʌnˈveɪl;открывать, раскрывать, снимать покрывало;0;
up to;ʌp tə;вплоть до;0;
vantage;ˈvɑːntɪdʒ;преимущество, выгодная позиция, пункт наблюдения;-2;
variational autoencoder (VAE);ˌveəriˈeɪʃnəl ˈɔːtəʊɪnˈkəʊdər;вариационный автокодер;3;
vast;vɑːst;огромный, обширный, громадный;-1;
velocity autocorrelation function;vəˈlɒsɪti ˈɔːtəʊˌkɒrəˈleɪʃən ˈfʌŋkʃn;автокорреляционная функция скорости;4;
velocity rescaling thermostat;vəˈlɒsɪti riːskeɪlɪŋ ˈθɜːməstæt;термостат масштабирования скоростей;3;
via;ˈvaɪə;через;2;
