word,transcription,translation_x
person (pl. people),ˈpɜːsn,человек/персона
personal,,личный
pharmacist,ˈfɑːməsɪst,аптекарь/провизор
pharmacy (AmE: a drug store),ˈfɑːməsɪ/ˈdrʌɡ/stɔː,аптека
phone,,телефон
physical,,физический
physician,fɪˈzɪʃ(ə)n,врач-терапевт
pick,,выбирать
picnic,ˈpɪknɪk,пикник
picture,,картинка
pie,ɑ paɪ,пирог
piece,piːs,кусок/часть
pig,pɪg,свинья
pillow,ˈpɪləʊ,подушка
pilot,ˈpaɪlət,пилoт
pine,paɪn,сосна
pineapple,ɑ ˈpaɪnæpl,ананас
pink,pɪŋk,розoвый
place,,место
plan,plæn,планировать
plane,pleɪn,самолет
plant,plɑːnt,растение
plate,pleɪt,тарелка
plateau,ˈplætəʊ,плато
platform,ˈplætfɔːm,платформа
play,tuː pleɪ,играть/игра/спектакль
player,,игрок
please,pliːz,пожалуйста
pleasure,ˈpleʒə,удовольствие
plum,ɑ plʌm,слива
plumber,ˈplʌmə,сантехник
point,,точка(зрения)
point,,точка
police,pəˈliːs,полиция
policeman (pl. policemen),pəˈliːsmən/pəˈliːsmən,полицейский
policy,,политика
polite,pəˈlaɪt,вежливый
political,,политический
politician,pɒlɪˈtɪʃ(ə)n,пoлитик
politics,,политика
pollution,pəˈluːʃ(ə)n,загрязнение
poor,pɔː(r),бедный/слабый
popular,,популярный
population,,население
position,,позиция/должность
possible,ˈpɑːsəbl,возможный
post office,pəʊst/ˈɒfɪs,почта
potato,pəˈteɪtəʊ,картофель
power,,сила
power plant,ˈpaʊə/plɑːnt,электростанция
practice,,практика
prepare,,подготавливать
present,ˈprez(ə)nt,подарок/дарить
president,,президент
pressure,,давление
pretty,,красивый
price,,цена
pride,praɪd,гордость
private,,приватный
probably,ˈprɑːbəblɪ,вероятно
problem,,проблема
process,,процесс
produce,,производить
product,,продукт
production,,производство
professor,,профессор
program,,программа
programmer,ˈprəʊɡræmə,программист
project,,проект
property,,имущество
protect,,защищать
prove,,доказывать
provide,,снабжать
public,,общественность
public,,общественный
pull,,тянуть
pumpkin,ɑ ˈpʌmpkɪn,тыква
purplе,ˈpɜːp(ə)l,фиoлетовый
purse,pɜːs,дамская сумка
push,,толкать
put,,положил
put on,pʊt/ɒn,надевать
pyjamas,pəˈdʒɑːməz,пижама
quality,,качество
question,,вопрос
quickly,,быстро
quiet,ˈkwaɪət,тихий
quiet,ˈkwaɪət,тихий/спокойный
quite,,довольно
rabbit,ˈræbɪt,кролик
race,,рас
radio,,радио
rain,reɪn,дождь
rainy,ˈreɪnɪ,дождливый
raise,,расти
range,,спектр
rare,rer,редкий
rat,ræt,крыса
rate,,темп
rather,,скорее
reach,,достигать
read,,читать
read (read – read),tuː riːd,читать
ready,ˈredɪ,готовый/готов
real,rɪəl,настоящий
realize,,реализовывать
really,,действительно
reason,,причина
receive,,получать
recent,,недавний
recently,,недавно
recognize,,узнавать
record,,записывать
red,red,красный
reduce,,снижать
region,,регион
relationship,,отношение
religious,,религиозный
remain,,оставаться
remember,,помнить
remove,,удалять
report,,докладывать
report,,отчет
represent,,представлять
require,,требовать
research,,исследование
resource,,ресурс
respond,,реагировать
response,,ответ
rest,rest,отдыхать
restaurant,ˈrest(ə)rɒnt,ресторан
result,,результат
return,,возвращаться
reveal,,раскрывать
rice,raɪs,рис
rich,rɪtʃ,богатый/насыщенный
right,raɪt,правый/направо/правильно/право
ring (rang – rung),rɪŋ/ræŋ/rʌŋ,звонить
rise,,возрастать
risk,rɪsk,рисковать
river,ˈrɪvə,река
road,rəʊd,дорога
roasted,ˈrəʊstɪd,жареный на углях
rock,,рок
role,,роль
roof,ruːf,крыша
room,ruːm,комната
root,ruːt,корень
rose,rəʊz,роза
rotten,ˈrɑːtn,гнилой/испорченный
round,raʊnd,круглый
rude,ruːd,грубый
rule,,правило
run,,бежать
running nose,ˈrʌnɪŋ/nəʊz,насморк
sad,sæd,грустный
sadness,ˈsædnəs,печаль
safe,seɪf,безопасный
salesperson,ˈseɪlzpɜːs(ə)n,прoдавец
salt,sɔːlt,соль
salty,ˈsɔːltɪ,соленый
same,seɪm,тот же/такой же/одинаковый
sand,sænd,песок
sauce,sɔːs,соус
save,seɪv,спасать/сохранять
say,,сказать
scarf,skɑːf,шарф
scene,,сцена
school,ə skuːl,школа
school,skuːl,школа
science,ˈsaɪəns,наука
sea,,море
season,ˈsiːzn,сезон/время года
seat,siːt,место/сиденье/кресло
second,ˈsekənd,секунда/второй
section,,раздел
security,,безопасность
see,siː,видеть
seek,,искать
seem,,казаться
sell,,продавать
sell (sold – sold),sel/səʊld,продавать
send (sent – sent),send/sent,отправлять
sense,,смысл
series,,серии
serious,,серьезный
serve,,обслуживать
service,,сервис
set,,устанавливать
set,,набор
seven,ˈsevn,семь
seventeen,sev(ə)nˈtiːn,семнадцать
seventy,ˈsev(ə)ntɪ,семьдесят
several,,несколько
sewing,ˈsəʊɪŋ,шитье
sex,,секс
shake,,взбивать
share,ʃeə,делиться
she,ʃiː,она
shelf,ʃelf,полка
shirt,ʃɜːt,рубашка
shoes,ʃuːz,обувь
shoot,,стрелять
shop (AmE: a store),ʃɒp/stɔː,магазин
short,ʃɔːt,низкий/короткий
shorts,ʃɔːts,шорты
should,ʃəd,должен/рекомендация или пожелание сделать что-то
shoulder,ˈʃəʊldə,плечо
show,,показывать
shower,ˈʃaʊə,душ
sick,sɪk,больной
side,,сторона
sign,saɪn,подписывать/знак/подпись
significant,,значительный
similar,ˈsɪmɪlə,похожий/идентичный
simple,,простой
simply,,легко
since,sɪns,раз уж/поскольку/так как/с тех пор/с какого-то момента/с
sing (sang-sung),tuː sɪŋ (sæŋ-sʌn,петь
singer,ˈsɪŋə,певец/певица
single,ˈsɪŋɡ(ə)l,холостой/незамужняя/один/одинокий
sink,sɪŋk,раковина
sister,ˈsɪstə,сестра
sit,,сидеть
sit (sat – sat),sɪt/sæt/sæt,сидеть
site,,сайт
situation,,ситуация
six,sɪks,шесть
sixteen,sɪksˈtiːn,шестнадцать
sixty,ˈsɪkstɪ,шестьдесят
size,,размер
skill,,навык
skin,skɪn,кожа
skinny,ˈskɪnɪ,худой
skirt,skɜːt,юбка
sleep (slept – slept),sliːp/slept,спать
slow,sləʊ,медленный
small,smɔːl,маленький
smell,smel,нюхать/иметь запах
smile,smaɪl,улыбаться
smoke,sməʊk,курить
snack,snæk,перекус
snake,sneɪk,змея
sneeze,sniːz,чихать
snow,snəʊ,снег
snowy,ˈsnəʊɪ,снежный
so,səʊ,итак/таким образом/поэтому/так
social,,социальный
society,,общество
socket,ˈsɒkɪt,розетка
socks,ˈsɒks,нoски
soda,ˈsəʊdə,газировка
sofa,ˈsəʊfə,диван
some,sʌm,несколько/некоторые
someone,,кое-кто
something,,что-нибудь
sometimes,ˈsʌmtaɪmz,иногда
son,sʌn,сын
song,ɑ sɒŋ,песня
soon,suːn,скоро
sorry,ˈsɒrɪ,извините/простите
sort,,вид
sound,,звук
sound,,звучать
sour,ˈsaʊə,кислый
source,,источник
south,,юг
space,,пространство
speak,,общаться
speak (spoke – spoken),spiːk/spəʊk/ˈspəʊk(ə)n,разговаривать
special,,специально
specific,,конкретный
spend,,проводить
spend (spent – spent),spend/spent,проводить/тратить
spices,spaɪs,специи
spicy,ˈspaɪsɪ,острый
spider,ˈspaɪdə,паук
spine,spaɪn,позвоночник
spoon,spuːn,ложка
sport,,спорт
spot,spɒt,пятно/точка
spring,ˈsprɪŋ,весна
square,skwer,квадратный
square,skweə,площадь
squirrel,ˈskwɪr(ə)l,белка
staff,,персонал
stage,,этап
stand,,стоять
standard,,стандарт
star,,звезда
start,,начинать
state,,состояние
state,,государство
statement,,утверждение
station,,станция
stay,,оставаться
step,,шаг
stepbrother,ˈstepbrʌðə,сводный брат
stepdaughter,ˈstepdɔːtə,падчерица
stepfather,ˈstepfɑːðə,отчим
stepmother,ˈstepmʌðə,мачеха
stepsister,ˈstepsɪstə,сводная сестра
stepson,ˈstepsʌn,пасынок
still,,до сих пор
stock,,запас
stockings,ˈstɒkɪŋz,чулки
stomach,ˈstʌmək,живот/желудок
stone,stəʊn,камень
stooped,stuːpt,сутулый
stop,,останавливаться
store,,магазин
story,ə ˈstɔːrɪ,история/рассказ
stove,stəʊv,плита
straight,streɪt,прямой/ровный
strange,streɪndʒ,странный
strategy,,стратегия
street,striːt,улица
strong,,сильный
structure,,структура
student,ə ˈstuːdnt,студент/ученик
study,tuː ˈstʌdɪ,учиться/изучать/учение
stuff,,материал
style,,стиль
subject,,предмет
success,,успех
such,,как
such,,такой
suddenly,,внезапно
sugar,ˈʃʊgə,сахар
suggest,,предлагать
suit,suːt,кoстюм
suit,suːt,идти/хорошо смотреться
summer,ˈsʌmər,лето
sun,sʌn,солнце
sunny,ˈsʌnɪ,солнечный
support,,помощь
support,,поддержка
sure,,конечно
surgeon,ˈsɜːdʒ(ə)n,хирург
surname (AmE: a last name),'sɜːneɪm,фамилия
sweater,ˈswetə,свитер
sweet,swiːt,сладкий
swollen,ˈswəʊlən,опухший
system,,система
table,ˈteɪb(ə)l,стол
take,,брать
take pictures,tuː teɪk ˈpɪkʧəːz,фотографировать
talented,ˈtæləntɪd,талантливый
talk,tɔːk,разговаривать/общаться/болтовня
tall,tɔːl,высокий
tanned,tænd,загорелый
taste,teɪst,пробовать/иметь вкус
tasty,ˈteɪstɪ,вкусный
tax,,налог
tea,tiː,чай
teach,tuː tiːtʃ,учить/преподавать
teacher,ˈtiːtʃə,учитель
team,,команда
technology,,технология
television,,телевидение
tell,,рассказывать
tell (told – told),tel/təʊld/təʊld,рассказывать
temperature,ˈtemp(ə)rətʃə,температура
ten,ten,десять
term,,срок
test,ə test,тест
than,,как
than,,чем
thank,,благодарность
thank you,θæŋk/jə,спасибо
that,,что
that,,тот
the,,артикль
the ocean,ˈəʊʃ(ə)n,океан
the sea,siː,море
theatre,ˈθɪətə,театр
theatre (AmE: a theater),ˈθɪətə/ˈθɪətər,театр
their,,их
their/them,ðeə/ðem,их/им
them,,им
themselves,,сами
then,ðen,затем/тогда
theory,,теория
there,ðə(r),там/туда
these,,эти
they,ðeɪ,они
thing,,вещь
think,,думать
think (thought – thought),θɪŋk/θɔːt/θɔːt,думать/считать
third,θɜːrd,третий
third,,третий
thirteen,θɜːrˈtiːn,тринадцать
thirty,ˈθɜːtɪ,тридцать
this,,этот
those,,те
though,,хотя
thought,,намерение
thought,,мысль
thousand,ˈθaʊznd,тысяча
three,θriː,три
throat,θrəʊt,горло
through,θruː,через/сквозь
throughout,,на протяжении
throw,,через
thunderstorm,ˈθʌndəstɔːm,гроза
thus,,таким образом
ticket,ɑ ˈtɪkɪt,билет
tie,taɪ,галстук
tights,taɪts,колготки
time,,время
to,tə,по направлению к/чтобы/частица перед глаголом
today,təˈdeɪ,сегодня
toe,təʊ,палец на ноге
together,,вместе
toilet,ˈtɔɪlɪt,туалет
tomato,ɑ təˈmɑːtəʊ,помидор
tomorrow,təˈmɔːrəʊ,завтра
tongue,tʌŋ,язык
tonight,təˈnaɪt,сегодня вечером/этой ночью
too,,тоже
too much,tuː mʌtʃ,слишком много
tooth (pl. teeth),tuːθ/tiːθ,зуб
top,,топ
top,,верх
toward,,к
town,taʊn,небольшой город/городок
trade,,торговля
traditional,,традиционный
traffic light,ˈtræfɪk/laɪt,светофор
trail,,след
train,treɪn,поезд
train station,treɪn/ˈsteɪʃ(ə)n,ЖД вокзал
training,,тренировка
travel,tuː trævl,путешествовать
travel agency,trævl ˈeɪʤənsɪ,туристическое агентство
tray,treɪ,поднос
treat,,лечить
treatment,,лечение
tree,triː,дерево
triangular,traɪˈæŋɡjələr,треугольный
trip,,путешествие
trouble,,проблема
trousers,ˈtraʊzəz,брюки
true,,правильный
truth,,правда
try,traɪ,пытаться
turn,tɜːn,поворот
twelve,twelv,двенадцать
twenty,ˈtwentɪ,двадцать
two,tuː,два
type,,тип
ugly,ˈʌɡlɪ,уродливый
uncle,ˈʌŋk(ə)l,дядя
under,ˈʌndə,под
undercooked,undercooked,полусырой
understand,,понимать
underwear,ˈʌndəweə,нижнее белье
unit,,часть
university,juːnɪˈvɜːsɪtɪ,университет
unless,ʌnˈles,если только не
until,,до тех пор
up,ʌp,вверх
upon,,на/по
us,,нам/нас
use,juːz,использовать
usually,ˈjuːʒʊəlɪ,обычно
valley,ˈvælɪ,долина
value,,значение
various,,различный
very,,очень
view,,видение
village,ˈvɪlɪdʒ,деревня
visit,ˈvɪzɪt,посещать
voice,,голос
volcano,vɒlˈkeɪnəʊ,вулкан
wait,weɪt,ждать
waiter/waitress,ˈweɪtə/ˈweɪtrəs,официант/официантка
wake up (woke – woken),weɪk/ʌp/wəʊk/ˈwəʊkən,просыпаться
walk,,гулять
wall,wɔːl,стена
wallet,ˈwɒlɪt,бумажник
want,,хотеть
war,,война
wardrobe (AmE: a closet),ˈwɔːdrəʊb,шкаф
warm,wɔːm,теплый
wash,wɒʃ,мыть/стирать
watch,wɒtʃ,смотреть/наблюдать
water,ˈwɔːtə,вода
watermelon,ɑ ˈwɔːtəmelən,арбуз
way,,способ
we,wiː,мы
weapon,,снаряжение
wear,,носить(одежду)
wear (wore – worn),weə/wɔː/wɔːn,носить (одежду)
wedding,ˈwedɪŋ,свадьба
week,wiːk,неделя
weight,,вес
well,,здорово
well,,хорошо
west,,запад
what,wɒt,что/какой
whatever,,без разницы
whatever,,что-нибудь
when,wen,когда
where,weə,где/куда
which,,который
while,,пока
white,waɪt,бeлый
who,huː,кто
whole,,целый
whom,huːm,кому
whose,,чей
why,waɪ,почему/зачем
wide,waɪd,широкий
wife,waɪf,жена
will,,будет
win,,побеждать
wind,wɪnd,ветер
window,ˈwɪndəʊ,окно
windy,ˈwɪndɪ,ветрено
winter,ˈwɪntər,зима
wire,ˈwaɪə,провод
with,wɪð,с
within,,в пределах
without,wɪðˈaʊt,без
wolf,wʊlf,волк
woman,,женщина
woman (pl. women),'wumən,женщина
wonder,,удивляться
word,,слово
work,wɜːk,работать
worker,ˈwɜːkə,рабoчий
world,,мир
worry,ˈwʌrɪ,беспокоиться/волноваться
would,,бы
wound,wuːnd,рана
write,,писать
writer,ˈraɪtə,писатель
wrong,,неправильный
yeah,,да(разг.)
year,jɪr,год
yellow,ˈjeləʊ,желтый
yes,jes,да
yesterday,ˈjestərdeɪ,вчера
yet,jet,пока не/до сих пор
yogurt,ˈjɒgət,йогурт
you,juː,ты/вы
you are welcome,ju/ɑː/ˈwelkəm,не за что
young,jʌŋ,молодой
your,,твой
your/you,jɔː/juː,твой/ваш/тебе/вам
yourself,,тебя самого
zero,ˈzɪrəʊ,ноль
